title1,title2,similarity
technical director,director of technical arts,1
technical director,technical and operations director,1
technical director,technical supervisor,1
technical director,technical manager,1
technical director,head of technical department,1
technical director,head of technical,1
technical director,technical editor,0
technical director,set up technical director,0
technical director,layout technical director,0
technical director,surface tiler,0
technical director,order entry and transfer processor,0
technical director,domestic waste incineration operative,0
metal drawing machine operator,draw machine operator,1
metal drawing machine operator,draw machine operative,1
metal drawing machine operator,forming machine operative,1
metal drawing machine operator,wiredrawing setter,1
metal drawing machine operator,wirer drawer machine operator,1
metal drawing machine operator,metal drawing machine technician,1
metal drawing machine operator,draw machine technician,1
metal drawing machine operator,metal drawing machine operative,1
metal drawing machine operator,wire drawer,1
metal drawing machine operator,wiredrawing  machine tender,1
metal drawing machine operator,forming machine technician,1
metal drawing machine operator,metal engraving machine operator,0
metal drawing machine operator,metal dipping machine operator,0
metal drawing machine operator,metal filing machine operator,0
metal drawing machine operator,CNC metal engraving machine operator,0
metal drawing machine operator,cnc metal engraving machine operator,0
metal drawing machine operator,timber merchant,0
metal drawing machine operator,staircase assembler,0
metal drawing machine operator,IT helpdesk manager,0
metal drawing machine operator,wagon quality compliance supervisor,0
metal drawing machine operator,tractor driver,0
metal drawing machine operator,fast food crew member,0
precision device inspector,precision device quality control supervisor,1
precision device inspector,precision instrument quality control inspector,1
precision device inspector,precision device QC inspector,1
precision device inspector,inspector of precision instruments,1
precision device inspector,precision device quality control inspector,1
precision device inspector,inspector of precision devices,1
precision device inspector,precision instrument QC inspector,1
precision device inspector,precision device quality assurance supervisor,1
precision device inspector,precision instrument inspector,1
precision device inspector,precision instrument supervisor,1
precision device inspector,medical device inspector,0
precision device inspector,engine refurbishing inspector,0
precision device inspector,candle production inspector,0
precision device inspector,production inspector,0
precision device inspector,precision engineering adviser,0
precision device inspector,trainee import specialist in flowers and plants,0
precision device inspector,posting clerk,0
precision device inspector,smart repair technician,0
precision device inspector,digital press operator,0
precision device inspector,steam engineering adviser,0
air traffic safety technician,air traffic safety engineer,1
air traffic safety technician,air traffic safety electronics engineer,1
air traffic safety technician,air traffic safety electronics technician,1
air traffic safety technician,air traffic safety hardware specialist,1
air traffic safety technician,air traffic safety software specialist,1
air traffic safety technician,air traffic safety electronics hardware specialist,1
air traffic safety technician,air traffic safety electronics software specialist,1
air traffic safety technician,fire safety testing technician,0
air traffic safety technician,railway track technician,0
air traffic safety technician,nuclear safety technician,0
air traffic safety technician,medical laboratory technician,0
air traffic safety technician,concrete finishing supervisor,0
air traffic safety technician,3D texturing artist,0
air traffic safety technician,embryology docent,0
hospitality revenue manager,revenue manager,1
hospitality revenue manager,yield manager,1
hospitality revenue manager,hospitality yields manager,1
hospitality revenue manager,hospitality revenues manager,1
hospitality revenue manager,hospitality security manager,0
hospitality revenue manager,venue house manager,0
hospitality revenue manager,lead senior soil scientist,0
hospitality revenue manager,comic artist,0
medical laboratory assistant,medical laboratory research assistant,1
medical laboratory assistant,medical lab assistant,1
medical laboratory assistant,assistant in biomedical laboratory,1
medical laboratory assistant,assistant clinical researcher,1
medical laboratory assistant,biomedical laboratory research assistant,1
medical laboratory assistant,clinical research assistant,1
medical laboratory assistant,assistant in medical laboratory,1
medical laboratory assistant,biomedical laboratory assistant,1
medical laboratory assistant,laboratory assistant,0
medical laboratory assistant,medical laboratory administrator,0
medical laboratory assistant,laboratory research assistant,0
medical laboratory assistant,library technical assistant,0
medical laboratory assistant,chief data officers,0
medical laboratory assistant,"graduate wholesale merchant in computers, computer peripheral equipment and software",0
medical laboratory assistant,corporate bankers,0
medical laboratory assistant,wooden furniture assembler,0
asphalt laboratory technician,road surface laboratory technician,1
asphalt laboratory technician,materials technician,1
asphalt laboratory technician,aggregates and asphalt laboratory technician,1
asphalt laboratory technician,asphalt technician,1
asphalt laboratory technician,asphalt production technical supervisor,1
asphalt laboratory technician,"technical supervisor, asphalt production",1
asphalt laboratory technician,site technician,1
asphalt laboratory technician,aggregates and bitumen laboratory technician,1
asphalt laboratory technician,"laboratory technician, asphalt",1
asphalt laboratory technician,asphalt production technician,1
asphalt laboratory technician,road surface technician,1
asphalt laboratory technician,"site technician, asphalt",1
asphalt laboratory technician,bitumen production technician,1
asphalt laboratory technician,bitumen technician,1
asphalt laboratory technician,assay laboratory  technician,0
asphalt laboratory technician,animal laboratory technician,0
asphalt laboratory technician,laboratory technician,0
asphalt laboratory technician,film laboratory technician,0
asphalt laboratory technician,laboratory calibration technician,0
asphalt laboratory technician,chemistry laboratory technician,0
asphalt laboratory technician,biotechnical laboratory technician,0
asphalt laboratory technician,operations manager chemical production,0
asphalt laboratory technician,hand brazer,0
asphalt laboratory technician,office cleaner,0
asphalt laboratory technician,tobacco processing operative,0
asphalt laboratory technician,electrical engineering specialist,0
asphalt laboratory technician,surface mount technology machine operator,0
asphalt laboratory technician,roll grinder,0
primary school teaching assistant,primary school paraprofessional,1
primary school teaching assistant,primary school assistant,1
primary school teaching assistant,primary school teaching aide,1
primary school teaching assistant,primary school TA,1
primary school teaching assistant,primary school instructional assistant,1
primary school teaching assistant,teaching assistant in primary schools,1
primary school teaching assistant,primary education teaching assistant,1
primary school teaching assistant,preschool teaching assistant,0
primary school teaching assistant,teacher in a primary school,0
primary school teaching assistant,assistant in secondary school teaching,0
primary school teaching assistant,salesperson,0
primary school teaching assistant,piling operative,0
primary school teaching assistant,ride on road roller operator,0
primary school teaching assistant,embroidery finisher,0
physiotherapist,health promotion worker,1
physiotherapist,health and well-being therapist,1
physiotherapist,cardiovascular physiotherapist,1
physiotherapist,rehabilitation therapist,1
physiotherapist,chiropractic therapist,1
physiotherapist,sports physiotherapist,1
physiotherapist,physiotherapist manager,1
physiotherapist,bobath physiotherapist,1
physiotherapist,hydrotherapist,1
physiotherapist,neurological physiotherapist,1
physiotherapist,chiropractor,1
physiotherapist,neurodevelopmental physiotherapist,1
physiotherapist,occupational therapist,1
physiotherapist,osteopath,1
physiotherapist,occupational physiotherapist,1
physiotherapist,neuromusculoskeletal physiotherapist,1
physiotherapist,business physiotherapist,1
physiotherapist,respiratory physiotherapist,1
physiotherapist,remedial physiotherapist,1
physiotherapist,masseuse,1
physiotherapist,manipulative physiotherapist,1
physiotherapist,physical therapist,1
physiotherapist,eurythmy therapist,1
physiotherapist,respiratory therapist,1
physiotherapist,neuromuscular physiotherapist,1
physiotherapist,phytotherapist,0
physiotherapist,senior physiotherapist,0
physiotherapist,animal physiotherapist,0
physiotherapist,psychotherapist,0
physiotherapist,advanced physiotherapist,0
physiotherapist,radiotherapist,0
physiotherapist,assistant physiotherapist,0
physiotherapist,physiotherapist assistant,0
physiotherapist,holistic therapist,0
physiotherapist,specialist physiotherapist,0
physiotherapist,salon therapist,0
physiotherapist,physiotherapy lead,0
physiotherapist,drilling supervisor,0
physiotherapist,aerospace weapons engineer,0
physiotherapist,security coordinator,0
physiotherapist,glazing supervisor,0
physiotherapist,pharmaceutical granulation operative,0
physiotherapist,sports reporter,0
physiotherapist,diplomatic historian,0
physiotherapist,embedded system developer,0
physiotherapist,earrings fabricator,0
physiotherapist,tourism sales manager,0
physiotherapist,civilian aircraft engine specialist,0
physiotherapist,international trade manager in office machinery and equipment,0
physiotherapist,delicatessen salesperson,0
performing arts theatre instructor,instructor in performing arts,1
performing arts theatre instructor,theatre instructor,1
performing arts theatre instructor,theatre instructor in performing arts school,1
performing arts theatre instructor,conservatory theatre lecturer,1
performing arts theatre instructor,professor of theatre,1
performing arts theatre instructor,acting school instructor,1
performing arts theatre instructor,acting school teacher,1
performing arts theatre instructor,conservatory theatre instructor,1
performing arts theatre instructor,performing arts dance instructor,0
performing arts theatre instructor,performing arts school dance instructor,0
performing arts theatre instructor,performing arts dancing instructor,0
performing arts theatre instructor,dance instructor in performing arts school,0
performing arts theatre instructor,waterway maintenance operative,0
performing arts theatre instructor,migrant advice and support worker,0
performing arts theatre instructor,music répétiteur,0
performing arts theatre instructor,trainee agricultural machinery and equipment distribution manager,0
hydrogenation machine operator,hydrogenation process operator,1
hydrogenation machine operator,hydrogenation machine operative,1
hydrogenation machine operator,hydrogenation operator,1
hydrogenation machine operator,hydrogenator,1
hydrogenation machine operator,irrigation machinery operator,0
hydrogenation machine operator,heading machine operator,0
hydrogenation machine operator,trainee dairy products and edible oils distribution manager,0
hydrogenation machine operator,non-destructive testing technician,0
pasta operator,pasta manufacturer,1
pasta operator,pasta production operator,1
pasta operator,upset operator,0
pasta operator,"machine welder, lasers",0
tobacco shop manager,cigarette store manager,1
tobacco shop manager,cigar and cigarette shop manager,1
tobacco shop manager,cigar store manager,1
tobacco shop manager,tobacco store manager,1
tobacco shop manager,tobacconist store manager,1
tobacco shop manager,pipe smokers shop manager,1
tobacco shop manager,cigar and cigarette store manager,1
tobacco shop manager,tobacconists store manager,1
tobacco shop manager,tobacconist shop manager,1
tobacco shop manager,cigarette shop manager,1
tobacco shop manager,cigar shop manager,1
tobacco shop manager,smokers products shop manager,1
tobacco shop manager,purveyor of tobacco and tobacco products,1
tobacco shop manager,tobacconists shop manager,1
tobacco shop manager,toy shop manager,0
tobacco shop manager,weapon shop manager,0
tobacco shop manager,spectacle shop manager,0
tobacco shop manager,shop manager,0
tobacco shop manager,shoe store manager,0
tobacco shop manager,sweet shop manager,0
tobacco shop manager,stationery shop manager,0
tobacco shop manager,casualty insurance underwriter,0
tobacco shop manager,tools engineer,0
tobacco shop manager,aircraft preventative maintenance technician,0
tobacco shop manager,newspaper specialised seller,0
tobacco shop manager,rubber process machine operative,0
tobacco shop manager,textile industry machinery  field salesman,0
tobacco shop manager,aerodynamic technology engineering expert,0
"rental service representative in machinery, equipment and tangible goods","rental sales desk agent in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service assistant in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service desk supervisor in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales assistant in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service desk agent in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales desk supervisor in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales manager in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service desk clerk in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales worker in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service worker in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales supervisor in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental specialist in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service manager in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service supervisor in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales team leader in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental service team leader in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental sales desk clerk in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods","rental advisor in other machinery, equipment and tangible goods",1
"rental service representative in machinery, equipment and tangible goods",rental service representative in office machinery and equipment,0
"rental service representative in machinery, equipment and tangible goods",rental service representative in agricultural machinery and equipment,0
"rental service representative in machinery, equipment and tangible goods",rental service representative in air transport equipment,0
"rental service representative in machinery, equipment and tangible goods",technical sales representative in office machinery and equipment,0
"rental service representative in machinery, equipment and tangible goods",graduate technical sales representative in office machinery and equipment,0
"rental service representative in machinery, equipment and tangible goods",trainee technical sales representative in office machinery and equipment,0
