Skill1,Skill2,Similarity
supervise staff,supervise dental staff,0
polish gemstones,abrade gemstones,1
polish gemstones,sand gemstones,1
polish gemstones,edit audio recordings,0
ecological principles,principles of ecology,1
ecological principles,electronic principles,0
automated optical inspection,monitoring drilling fluid,0
automated optical inspection,sports values,0
collaborate with engineers,cooperate with engineers,1
welding,weld,1
electroplating,electroplating measure,0
electroplating,decide on make-up processes,0
use communication equipment,utilise communication equipment,0
use communication equipment,operate communication equipment,0
maintain optical equipment,optical equipment maintaining,1
maintain optical equipment,optical equipment repairing,1
maintain optical equipment,repair optical equipment,1
maintain optical equipment,maintaining optical equipment,1
maintain optical equipment,repairing optical equipment,1
create flower arrangements,creating flower arrangements,1
create flower arrangements,create arrangements of flowers,0
create flower arrangements,flower arrangements creating,0
create flower arrangements,flower arrangement creating,0
in-circuit test,ICT,1
in-circuit test,test circuits,0
in-circuit test,test signal circuits,0
in-circuit test,test signal circuitry,0
in-circuit test,test circuitry,0
maintain aquaculture equipment,maintaining aquaculture equipment,1
maintain aquaculture equipment,aquaculture equipment maintaining,1
maintain aquaculture equipment,add perfume,0
total quality management,quality management,0
business analysis,linguistics of computation,0
business analysis,excess metal removal procedures,0
fish grading,grading fish,0
fish grading,grade fish,0
fish grading,grading foods,0
fish grading,units of a metalworking smoothing machine,0
fish grading,providing advice on issues relating to trees,0
build machines,assemble machines,1
build machines,machines building,0
build machines,build a machine,0
build machines,building machines,0
build machines,collaborate with maintenance department to comply with regulations,0
religious studies,the study of religion,1
religious studies,the study of God,1
religious studies,theology,1
religious studies,oversee coffee deliveries,0
install locks,assess a chiropractic intervention,0
dispatch emergency personnel,emergency advice provision,0
dispatch emergency personnel,provide emergency advice,0
dispatch emergency personnel,providing emergency advice,0
dispatch emergency personnel,ensuring security on ships,0
cooperate with colleagues,collaborate with colleagues,1
cooperate with colleagues,work together with colleagues,1
cooperate with colleagues,liaise with colleagues,0
cooperate with colleagues,cooperate with auditors,0
ethics,ETCS,0
use body language,using body language,0
supply chain management,manage supply chain,0
supply chain management,supply chain fundamentals,0
supply chain management,outdoor activities,0
supply chain management,maintain motor vehicles steering systems,0
market entry strategy,market entry strategies,0
market entry strategy,get  vehicles,0
preparing financial statements,prepare financial statements,0
provide fitness customer care,provide customer fitness service,0
provide fitness customer care,mix sound in a live situation,0
financial planning,ensure finished product meet requirements,0
quality check,blasting a surface,0
quality check,credit card payments,0
synthetic resins,synthetic fibres,0
manage staff,manage employees,1
manage staff,communicating with waste collectors,0
show responsibility,show reliability,0
show responsibility,make animal records,0
design miniature props,build miniature props,1
design miniature props,create miniature props,1
design miniature props,building miniature props,0
train animals,instruct animals,1
train animals,teach animals,1
organise auditions,arrange auditions,1
organise auditions,polish surfaces of stone,0
organise auditions,overhaul edge banding machinery,0
organise auditions,integrate building requirements of clients in the architectural blueprints,0
mentor individuals,support individuals,1
mentor individuals,help individuals,1
mentor individuals,restrain individuals,0
distribute pensions,allot pensions,1
distribute pensions,allocate pensions,1
distribute pensions,issue pensions,1
distribute pensions,assign pensions,1
distribute pensions,pension distribution,1
distribute pensions,distribution of pensions,1
distribute pensions,distribute a pensions,1
distribute pensions,create food production plans,0
make up performing artists,make up artists performing,1
make up performing artists,apply makeup to performers,1
make up performing artists,apply cosmetics to performing artists,1
make up performing artists,make up artists who are performing,1
make up performing artists,keep up artistic portfolio,0
maintain dredging equipment,maintenance of dredging equipment,1
maintain dredging equipment,inspecting dredging equipment,1
maintain dredging equipment,inspect and repair dredging equipment,1
maintain dredging equipment,dredging equipment inspection,1
maintain dredging equipment,dredging equipment maintaining,1
maintain dredging equipment,maintaining dredging equipment,1
maintain dredging equipment,dredging equipment maintenance,1
maintain dredging equipment,repair  dredging equipment,1
maintain dredging equipment,dredging equipment repair,1
